district name,amenity type,source node,amenity type
Spandau,sports_centre,86,1290
Spandau,park,86,5335
Steglitz-Zehlendorf,swimming_pool,84,2286
Steglitz-Zehlendorf,park,84,14658
Steglitz-Zehlendorf,pitch,84,32941
Steglitz-Zehlendorf,playground,84,24480
Spandau,pitch,83,10349
Mitte,garden,82,23063
Mitte,park,82,26601
Mitte,sports_centre,82,10620
Mitte,playground,82,60672
Mitte,pitch,82,71353
Mitte,fitness_centre,82,8149
Mitte,parklet,82,1065
Mitte,outdoor_seating,82,5828
Steglitz-Zehlendorf,sports_centre,82,5267
Mitte,dog_park,82,592
Mitte,swimming_pool,82,2085
Mitte,hackerspace,82,1003
Steglitz-Zehlendorf,outdoor_seating,82,2533
Mitte,dance,82,2072
Mitte,sports_hall,82,2771
Mitte,picnic_table,82,4767
Mitte,fitness_station,82,6180
Spandau,track,82,1516
Spandau,playground,82,10883
Mitte,track,82,4227
Mitte,stadium,81,477
Mitte,adult_gaming_centre,81,2070
Mitte,escape_game,81,756
Steglitz-Zehlendorf,garden,81,49949
Mitte,bleachers,81,1184
Spandau,sports_hall,79,442
Steglitz-Zehlendorf,track,79,3070
Steglitz-Zehlendorf,sports_hall,79,2111
Mitte,sauna,78,959
Mitte,miniature_golf,77,200
Marzahn-Hellersdorf,garden,76,6807
Marzahn-Hellersdorf,playground,76,22963
Steglitz-Zehlendorf,picnic_table,76,1014
Marzahn-Hellersdorf,park,76,12826
Marzahn-Hellersdorf,pitch,76,18487
Tempelhof-Schöneberg,outdoor_seating,75,5730
Mitte,ice_rink,75,186
Mitte,firepit,75,147
Tempelhof-Schöneberg,track,75,4714
Tempelhof-Schöneberg,sports_hall,75,2654
Tempelhof-Schöneberg,park,75,23096
Tempelhof-Schöneberg,sports_centre,75,8994
Tempelhof-Schöneberg,pitch,75,61449
Tempelhof-Schöneberg,garden,75,88979
Tempelhof-Schöneberg,playground,75,43507
Steglitz-Zehlendorf,fitness_centre,74,3013
Tempelhof-Schöneberg,fitness_centre,74,7807
Lichtenberg,park,73,10164
Marzahn-Hellersdorf,track,73,1334
Lichtenberg,playground,73,22647
Lichtenberg,pitch,73,23884
