district name,amenity type,source node,amenity type
Spandau,supermarket,86,2678
Steglitz-Zehlendorf,books,84,2145
Steglitz-Zehlendorf,bakery,84,8937
Steglitz-Zehlendorf,supermarket,83,8592
Steglitz-Zehlendorf,hairdresser,83,15008
Mitte,jewelry,82,7831
Mitte,art,82,4666
Mitte,tailor,82,4225
Mitte,interior_decoration,82,5139
Mitte,alcohol,82,2355
Spandau,beverages,82,322
Mitte,appliance,82,672
Steglitz-Zehlendorf,convenience,82,3714
Mitte,houseware,82,1239
Mitte,laundry,82,2223
Mitte,bakery,82,25693
Mitte,tattoo,82,2549
Mitte,rental,82,1306
Mitte,bed,82,702
Mitte,beverages,82,2257
Mitte,bicycle,82,8374
Mitte,kiosk,82,13700
Mitte,massage,82,6348
Mitte,supermarket,82,20172
Mitte,mall,82,1128
Spandau,florist,82,961
Mitte,photo,82,1665
Mitte,perfumery,82,1189
Mitte,pastry,82,1642
Mitte,optician,82,5920
Mitte,newsagent,82,1712
Mitte,musical_instrument,82,1670
Mitte,music,82,1622
Mitte,shoes,82,6203
Mitte,sports,82,2450
Mitte,stationery,82,2674
Mitte,mobile_phone,82,7916
Mitte,medical_supply,82,2680
Spandau,chemist,82,464
Steglitz-Zehlendorf,furniture,82,1806
Mitte,books,82,7548
Mitte,beauty,82,17741
Mitte,cosmetics,82,3361
Mitte,vacant,82,7049
Steglitz-Zehlendorf,kiosk,82,3939
Mitte,deli,82,4614
Mitte,coffee,82,1789
Mitte,department_store,82,1115
Mitte,funeral_directors,82,1848
Mitte,clothes,82,42882
Mitte,toys,82,2340
Mitte,dry_cleaning,82,3118
Mitte,chemist,82,4666
Mitte,convenience,82,28573
Mitte,variety_store,82,2299
Mitte,electrical,82,493
Mitte,travel_agency,82,5910
Mitte,electronics,82,2727
Mitte,copyshop,82,2406
Mitte,erotic,82,743
Mitte,hairdresser,82,37649
Mitte,tobacco,82,1222
Mitte,carpet,82,1041
Mitte,car_repair,82,5706
Mitte,furniture,82,6069
Mitte,wine,82,2567
Mitte,confectionery,82,2008
Mitte,florist,82,9761
Mitte,fabric,82,1339
Mitte,car,82,3524
Mitte,craft,81,765
Mitte,ticket,81,989
Mitte,second_hand,81,2466
Mitte,doityourself,81,1132
Mitte,paint,81,516
Mitte,pawnbroker,81,558
Mitte,pet,81,912
Mitte,pet_grooming,81,600
Mitte,storage_rental,81,487
Mitte,leather,81,563
Steglitz-Zehlendorf,deli,81,1222
Mitte,hifi,81,564
Mitte,charity,81,490
Mitte,bag,81,1267
Mitte,bookmaker,81,2246
Mitte,locksmith,81,1263
Mitte,tea,81,1161
Mitte,chocolate,81,735
Mitte,antiques,81,2185
Steglitz-Zehlendorf,clothes,81,8579
Mitte,greengrocer,81,1460
Mitte,butcher,81,1647
