district name,amenity type,source node,amenity type
Steglitz-Zehlendorf,park,534,186176
Steglitz-Zehlendorf,pitch,534,408634
Steglitz-Zehlendorf,playground,534,303432
Steglitz-Zehlendorf,garden,520,577455
Steglitz-Zehlendorf,swimming_pool,519,29033
Steglitz-Zehlendorf,sports_centre,516,64582
Steglitz-Zehlendorf,outdoor_seating,516,30274
Steglitz-Zehlendorf,track,506,38511
Steglitz-Zehlendorf,sports_hall,505,25996
Steglitz-Zehlendorf,fitness_centre,487,36267
Steglitz-Zehlendorf,picnic_table,483,12103
Steglitz-Zehlendorf,dance,479,10293
Steglitz-Zehlendorf,bleachers,476,5579
Steglitz-Zehlendorf,bandstand,454,1723
Steglitz-Zehlendorf,sauna,441,4113
Steglitz-Zehlendorf,marina,417,2368
Treptow-Köpenick,playground,417,162838
Steglitz-Zehlendorf,fitness_station,403,5482
Tempelhof-Schöneberg,garden,402,474536
Tempelhof-Schöneberg,sports_centre,402,53913
Tempelhof-Schöneberg,outdoor_seating,401,30921
Tempelhof-Schöneberg,park,401,135682
Tempelhof-Schöneberg,playground,401,269671
Tempelhof-Schöneberg,pitch,400,356966
Tempelhof-Schöneberg,track,398,30321
Treptow-Köpenick,pitch,398,160610
Tempelhof-Schöneberg,sports_hall,397,18320
Tempelhof-Schöneberg,fitness_centre,395,35873
Tempelhof-Schöneberg,swimming_pool,393,17208
Treptow-Köpenick,park,385,65061
Steglitz-Zehlendorf,miniature_golf,374,3752
Tempelhof-Schöneberg,dog_park,374,3368
Treptow-Köpenick,track,372,15738
Treptow-Köpenick,picnic_table,370,12496
Treptow-Köpenick,sports_centre,368,26091
Charlottenburg-Wilmersdorf,park,368,166274
Charlottenburg-Wilmersdorf,pitch,368,423153
Charlottenburg-Wilmersdorf,playground,368,266096
Charlottenburg-Wilmersdorf,garden,368,442565
Steglitz-Zehlendorf,dog_park,368,1467
Charlottenburg-Wilmersdorf,sports_centre,368,62501
Charlottenburg-Wilmersdorf,swimming_pool,368,12317
Reinickendorf,pitch,367,213243
Charlottenburg-Wilmersdorf,track,367,28431
Reinickendorf,playground,366,228278
Tempelhof-Schöneberg,fitness_station,365,16425
Charlottenburg-Wilmersdorf,fitness_centre,364,60149
Steglitz-Zehlendorf,nature_reserve,363,1796
Charlottenburg-Wilmersdorf,dance,361,13570
Charlottenburg-Wilmersdorf,sports_hall,361,14782
Treptow-Köpenick,fitness_centre,358,8832
Charlottenburg-Wilmersdorf,bleachers,358,5635
Steglitz-Zehlendorf,horse_riding,357,1178
Charlottenburg-Wilmersdorf,tanning_salon,355,2620
Steglitz-Zehlendorf,stadium,355,2445
Steglitz-Zehlendorf,disc_golf_course,355,869
Treptow-Köpenick,sports_hall,354,4664
Reinickendorf,park,354,87991
Treptow-Köpenick,garden,352,46459
Charlottenburg-Wilmersdorf,outdoor_seating,351,28241
Charlottenburg-Wilmersdorf,fitness_station,346,14628
Charlottenburg-Wilmersdorf,adult_gaming_centre,345,6839
Charlottenburg-Wilmersdorf,stadium,343,2951
Steglitz-Zehlendorf,tanning_salon,343,2161
Charlottenburg-Wilmersdorf,bowling_alley,343,1156
Charlottenburg-Wilmersdorf,wellness,342,800
