district name,amenity type,source node,amenity type
Steglitz-Zehlendorf,bakery,533,108849
Steglitz-Zehlendorf,supermarket,531,105207
Steglitz-Zehlendorf,books,530,26522
Steglitz-Zehlendorf,hairdresser,527,182340
Steglitz-Zehlendorf,kiosk,527,48387
Steglitz-Zehlendorf,optician,520,37521
Steglitz-Zehlendorf,florist,519,67373
Steglitz-Zehlendorf,deli,519,14735
Steglitz-Zehlendorf,clothes,519,108421
Steglitz-Zehlendorf,convenience,516,43160
Steglitz-Zehlendorf,furniture,513,22380
Steglitz-Zehlendorf,alcohol,513,10423
Steglitz-Zehlendorf,jewelry,511,37828
Steglitz-Zehlendorf,wine,511,11356
Steglitz-Zehlendorf,car_repair,508,40375
Steglitz-Zehlendorf,chemist,506,19810
Steglitz-Zehlendorf,coffee,505,9687
Steglitz-Zehlendorf,butcher,504,10115
Steglitz-Zehlendorf,travel_agency,504,29213
Steglitz-Zehlendorf,greengrocer,504,8566
Steglitz-Zehlendorf,houseware,504,7204
Steglitz-Zehlendorf,bicycle,503,28887
Steglitz-Zehlendorf,beverages,502,17279
Steglitz-Zehlendorf,funeral_directors,501,16434
Steglitz-Zehlendorf,tailor,500,30235
Steglitz-Zehlendorf,dry_cleaning,497,16825
Steglitz-Zehlendorf,motorcycle,496,4731
Steglitz-Zehlendorf,medical_supply,490,22762
Steglitz-Zehlendorf,stationery,490,15776
Steglitz-Zehlendorf,gift,490,7194
Steglitz-Zehlendorf,mall,490,6434
Steglitz-Zehlendorf,beauty,490,122405
Steglitz-Zehlendorf,mobile_phone,489,19989
Steglitz-Zehlendorf,toys,489,12360
Steglitz-Zehlendorf,confectionery,489,10225
Steglitz-Zehlendorf,hearing_aids,489,20080
Steglitz-Zehlendorf,sports,487,11710
Steglitz-Zehlendorf,perfumery,486,7292
Steglitz-Zehlendorf,photo,486,4173
Steglitz-Zehlendorf,department_store,486,7587
Steglitz-Zehlendorf,shoes,486,19134
Steglitz-Zehlendorf,laundry,484,11436
Steglitz-Zehlendorf,massage,483,30782
Steglitz-Zehlendorf,interior_decoration,483,16116
Steglitz-Zehlendorf,cosmetics,481,13340
Steglitz-Zehlendorf,window_blind,481,3794
Steglitz-Zehlendorf,locksmith,478,10033
Steglitz-Zehlendorf,vacant,477,23111
Steglitz-Zehlendorf,kitchen,476,5636
Steglitz-Zehlendorf,bookmaker,476,5809
Steglitz-Zehlendorf,storage_rental,474,5359
Steglitz-Zehlendorf,car,473,26670
Steglitz-Zehlendorf,e-cigarette,472,6098
Steglitz-Zehlendorf,pet,470,10304
Steglitz-Zehlendorf,car_parts,469,5092
Steglitz-Zehlendorf,computer,467,6030
Steglitz-Zehlendorf,tattoo,467,8243
Steglitz-Zehlendorf,carpet,466,3359
Steglitz-Zehlendorf,shoe_repair,464,3201
Steglitz-Zehlendorf,newsagent,464,14253
Steglitz-Zehlendorf,art,463,8725
Steglitz-Zehlendorf,antiques,459,12658
Steglitz-Zehlendorf,bed,459,5495
Steglitz-Zehlendorf,pet_grooming,458,5383
Steglitz-Zehlendorf,ticket,457,4458
Steglitz-Zehlendorf,seafood,453,2256
Steglitz-Zehlendorf,copyshop,452,8646
Steglitz-Zehlendorf,electronics,443,8946
Steglitz-Zehlendorf,appliance,439,1882
Steglitz-Zehlendorf,chocolate,438,2132
Steglitz-Zehlendorf,lighting,433,3181
Steglitz-Zehlendorf,watches,433,2474
Steglitz-Zehlendorf,estate_agent,431,2847
Steglitz-Zehlendorf,gas,424,1054
Treptow-Köpenick,hairdresser,424,50931
Steglitz-Zehlendorf,hardware,423,5608
Steglitz-Zehlendorf,variety_store,423,11000
Steglitz-Zehlendorf,tea,423,5061
Steglitz-Zehlendorf,garden_centre,420,5224
Steglitz-Zehlendorf,health_food,419,4906
Steglitz-Zehlendorf,charity,415,4288
